Timestamp;Latitude;Longitude
1478329924;-8.61963;-36.61311
1478329985;-8.61962;-36.61311
1478330046;-8.61963;-36.61312
1478330107;-8.61962;-36.61312
1478330168;-8.61962;-36.61312
1478330229;-8.61963;-36.61312
1478330290;-8.61964;-36.61311
1478330351;-8.61963;-36.61311
1478330412;-8.61963;-36.61312
1478330473;-8.61963;-36.61314
1478330534;-8.61963;-36.61311
1478330595;-8.61963;-36.61312
1478330656;-8.61963;-36.61312
1478330717;-8.61963;-36.61312
1478330778;-8.61964;-36.61311
1478330839;-8.61976;-36.61314
1478330900;-8.61959;-36.61315
1478330961;-8.61959;-36.61317
1478331022;-8.61953;-36.61332
1478331083;-8.61958;-36.61319
1478331144;-8.61942;-36.61292
1478331205;-8.61938;-36.61276
1478331266;-8.61962;-36.61311
1478331327;-8.61964;-36.61310
1478331388;-8.61963;-36.61309
1478331449;-8.61962;-36.61309
1478331510;-8.61963;-36.61308
1478331571;-8.61963;-36.61308
1478331632;-8.61967;-36.61304
1478331693;-8.61972;-36.61318
1478331754;-8.61976;-36.61320
1478331815;-8.61954;-36.61311
1478331876;-8.61892;-36.61271
1478331937;-8.61953;-36.61323
1478331998;-8.61962;-36.61308
1478332059;-8.61963;-36.61308
1478332120;-8.61964;-36.61307
1478332181;-8.61963;-36.61306
1478332242;-8.61963;-36.61308
1478332303;-8.61960;-36.61308
1478332364;-8.61957;-36.61308
1478332425;-8.61963;-36.61310
1478332486;-8.61960;-36.61303
1478332547;-8.61962;-36.61311
1478332608;-8.61963;-36.61309
1478332669;-8.61963;-36.61308
1478332730;-8.61963;-36.61308
1478332791;-8.61958;-36.61309
1478332852;-8.61962;-36.61310
1478332913;-8.61963;-36.61309
1478332974;-8.61964;-36.61304
1478333035;-8.61970;-36.61301
1478333096;-8.61958;-36.61320
1478333157;-8.61965;-36.61311
1478333218;-8.61962;-36.61309
1478333279;-8.61965;-36.61308
1478333340;-8.61962;-36.61308
1478333401;-8.61961;-36.61309
1478333462;-8.61976;-36.61296
1478333523;-8.61961;-36.61314
1478333584;-8.61963;-36.61317
1478333645;-8.61962;-36.61324
1478333706;-8.61967;-36.61314
1478333767;-8.61969;-36.61314
1478333828;-8.61953;-36.61299
1478333889;-8.61963;-36.61312
1478333950;-8.61967;-36.61314
1478334011;-8.61956;-36.61288
1478334072;-8.61953;-36.61280
1478334133;-8.61954;-36.61309
1478334194;-8.61956;-36.61293
1478334255;-8.61965;-36.61316
1478334316;-8.61965;-36.61317
1478334377;-8.61960;-36.61308
1478334438;-8.61960;-36.61317
1478334499;-8.61960;-36.61312
1478334560;-8.61969;-36.61302
1478334621;-8.61961;-36.61317
1478334682;-8.61953;-36.61348
1478334743;-8.61950;-36.61303
1478334804;-8.61949;-36.61303
1478334865;-8.61967;-36.61324
1478334926;-8.61950;-36.61297
1478334987;-8.61957;-36.61300
1478335048;-8.61958;-36.61312
1478335048;-8.61958;0.00000
1478335169;-8.61960;-36.61329
1478335230;-8.61963;-36.61319
1478335291;-8.61959;-36.61315
1478335352;-8.61960;-36.61322
1478335413;-8.61957;-36.61311
1478335474;-8.61953;-36.61330
1478335535;-8.61969;-36.61315
1478335596;-8.61950;-36.61333
1478335657;-8.61968;-36.61316
1478335718;-8.61971;-36.61315
1478335779;-8.61961;-36.61314
1478335840;-8.61961;-36.61323
1478335901;-8.61964;-36.61289
1478335962;-8.61975;-36.61277
1478336023;-8.61959;-36.61293
1478336084;-8.61967;-36.61314
1478336145;-8.61981;-36.61324
1478336206;-8.61947;-36.61317
1478336267;-8.61968;-36.61325
1478336328;-8.61967;-36.61321
1478336389;-8.61964;-36.61311
1478336450;-8.61954;-36.61290
1478336511;-8.61967;-36.61318
1478336572;-8.61956;-36.61298
1478336633;-8.61964;-36.61312
